id,question,sparql,answer
0,Give me the largest city in Lubbock County Texas?,"select  ?o    {    <http://dbpedia.org/resource/Lubbock_County,_Texas> <http://dbpedia.org/ontology/largestCity>  ?o    }","Lubbock, Texas"
1,Tell me the largest city in Lubbock County Texas?,"select  ?o    {    <http://dbpedia.org/resource/Lubbock_County,_Texas> <http://dbpedia.org/ontology/largestCity>  ?o    }","Lubbock, Texas"
2,What is the largest city in Lubbock County Texas?,"select  ?o    {    <http://dbpedia.org/resource/Lubbock_County,_Texas> <http://dbpedia.org/ontology/largestCity>  ?o    }","Lubbock, Texas"
3,What was the largest city in Lubbock County Texas?,"select  ?o    {    <http://dbpedia.org/resource/Lubbock_County,_Texas> <http://dbpedia.org/ontology/largestCity>  ?o    }","Lubbock, Texas"
4,Which city is the largest city in Lubbock County Texas?,"select  ?o    {    <http://dbpedia.org/resource/Lubbock_County,_Texas> <http://dbpedia.org/ontology/largestCity>  ?o    }","Lubbock, Texas"
5,Which city was the largest city in Lubbock County Texas?,"select  ?o    {    <http://dbpedia.org/resource/Lubbock_County,_Texas> <http://dbpedia.org/ontology/largestCity>  ?o    }","Lubbock, Texas"
6,Give me the largest city in Luce County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Luce_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Newberry, Michigan"
7,Tell me the largest city in Luce County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Luce_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Newberry, Michigan"
8,What is the largest city in Luce County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Luce_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Newberry, Michigan"
9,What was the largest city in Luce County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Luce_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Newberry, Michigan"
10,Which city is the largest city in Luce County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Luce_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Newberry, Michigan"
11,Which city was the largest city in Luce County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Luce_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Newberry, Michigan"
12,Give me the largest city in Luna County New Mexico?,"select  ?o    {    <http://dbpedia.org/resource/Luna_County,_New_Mexico> <http://dbpedia.org/ontology/largestCity>  ?o    }","Deming, New Mexico"
13,Tell me the largest city in Luna County New Mexico?,"select  ?o    {    <http://dbpedia.org/resource/Luna_County,_New_Mexico> <http://dbpedia.org/ontology/largestCity>  ?o    }","Deming, New Mexico"
14,What is the largest city in Luna County New Mexico?,"select  ?o    {    <http://dbpedia.org/resource/Luna_County,_New_Mexico> <http://dbpedia.org/ontology/largestCity>  ?o    }","Deming, New Mexico"
15,What was the largest city in Luna County New Mexico?,"select  ?o    {    <http://dbpedia.org/resource/Luna_County,_New_Mexico> <http://dbpedia.org/ontology/largestCity>  ?o    }","Deming, New Mexico"
16,Which city is the largest city in Luna County New Mexico?,"select  ?o    {    <http://dbpedia.org/resource/Luna_County,_New_Mexico> <http://dbpedia.org/ontology/largestCity>  ?o    }","Deming, New Mexico"
17,Which city was the largest city in Luna County New Mexico?,"select  ?o    {    <http://dbpedia.org/resource/Luna_County,_New_Mexico> <http://dbpedia.org/ontology/largestCity>  ?o    }","Deming, New Mexico"
18,Give me the largest city in Lyon County Nevada?,"select  ?o    {    <http://dbpedia.org/resource/Lyon_County,_Nevada> <http://dbpedia.org/ontology/largestCity>  ?o    }","Fernley, Nevada"
19,Tell me the largest city in Lyon County Nevada?,"select  ?o    {    <http://dbpedia.org/resource/Lyon_County,_Nevada> <http://dbpedia.org/ontology/largestCity>  ?o    }","Fernley, Nevada"
20,What is the largest city in Lyon County Nevada?,"select  ?o    {    <http://dbpedia.org/resource/Lyon_County,_Nevada> <http://dbpedia.org/ontology/largestCity>  ?o    }","Fernley, Nevada"
21,What was the largest city in Lyon County Nevada?,"select  ?o    {    <http://dbpedia.org/resource/Lyon_County,_Nevada> <http://dbpedia.org/ontology/largestCity>  ?o    }","Fernley, Nevada"
22,Which city is the largest city in Lyon County Nevada?,"select  ?o    {    <http://dbpedia.org/resource/Lyon_County,_Nevada> <http://dbpedia.org/ontology/largestCity>  ?o    }","Fernley, Nevada"
23,Which city was the largest city in Lyon County Nevada?,"select  ?o    {    <http://dbpedia.org/resource/Lyon_County,_Nevada> <http://dbpedia.org/ontology/largestCity>  ?o    }","Fernley, Nevada"
24,Give me the largest city in Macomb County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Macomb_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Warren, Michigan"
25,Tell me the largest city in Macomb County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Macomb_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Warren, Michigan"
26,What is the largest city in Macomb County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Macomb_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Warren, Michigan"
27,What was the largest city in Macomb County Michigan?,"select  ?o    {    <http://dbpedia.org/resource/Macomb_County,_Michigan> <http://dbpedia.org/ontology/largestCity>  ?o    }","Warren, Michigan"
